epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.6792051196098328,0.6792051196098328,0.7272591590881348,0.5248344540596008,0.5248344540596008,0.6915885210037231
1,0.733853816986084,0.733853816986084,0.5373378992080688,0.5248344540596008,0.5248344540596008,0.685530424118042
2,0.7487579584121704,0.7487579584121704,0.5019298791885376,0.5248344540596008,0.5248344540596008,0.7041153311729431
3,0.7707594037055969,0.7707594037055969,0.49308881163597107,0.5248344540596008,0.5248344540596008,0.7868515849113464
4,0.7842441201210022,0.7842441201210022,0.4690336585044861,0.5248344540596008,0.5248344540596008,1.0815296173095703
5,0.7806955575942993,0.7806955575942993,0.4669557213783264,0.5182119011878967,0.5182119011878967,0.9020336270332336
6,0.7984386086463928,0.7984386086463928,0.461181640625,0.5248344540596008,0.5248344540596008,2.7902519702911377
7,0.8282470107078552,0.8282470107078552,0.3925256133079529,0.7086092829704285,0.7086092829704285,0.5816513895988464
8,0.8176011443138123,0.8176011443138123,0.41677841544151306,0.5877483487129211,0.5877483487129211,1.1933419704437256
9,0.7991483211517334,0.7991483211517334,0.4535936713218689,0.5877483487129211,0.5877483487129211,1.6701382398605347
10,0.8254081010818481,0.8254081010818481,0.40110281109809875,0.5248344540596008,0.5248344540596008,3.8365421295166016
11,0.863733172416687,0.863733172416687,0.33033886551856995,0.5480132699012756,0.5480132699012756,1.983396053314209
12,0.8367636799812317,0.8367636799812317,0.3690725266933441,0.7715231776237488,0.7715231776237488,0.54665207862854
13,0.8580553531646729,0.8580553531646729,0.34547102451324463,0.5248344540596008,0.5248344540596008,6.404696941375732
14,0.8559262156486511,0.8559262156486511,0.35741886496543884,0.5281456708908081,0.5281456708908081,3.187326192855835
15,0.8566359281539917,0.8566359281539917,0.33232197165489197,0.5264900922775269,0.5264900922775269,2.1243834495544434
16,0.8545067310333252,0.8545067310333252,0.34810373187065125,0.5198675394058228,0.5198675394058228,2.0028042793273926
17,0.8580553531646729,0.8580553531646729,0.3244493901729584,0.7334437370300293,0.7334437370300293,1.0906263589859009
18,0.889992892742157,0.889992892742157,0.2675743103027344,0.5943708419799805,0.5943708419799805,2.3228416442871094
19,0.8935415148735046,0.8935415148735046,0.27256444096565247,0.5728476643562317,0.5728476643562317,1.9101914167404175
20,0.8786373138427734,0.8786373138427734,0.2950911521911621,0.6208609342575073,0.6208609342575073,1.2034497261047363
21,0.8736692667007446,0.8736692667007446,0.28329020738601685,0.6307947039604187,0.6307947039604187,1.5487630367279053
22,0.8885734677314758,0.8885734677314758,0.2686295509338379,0.7781456708908081,0.7781456708908081,0.6763293147087097
