epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.6678495407104492,0.6678495407104492,0.7682992219924927,0.5049669146537781,0.5049669146537781,0.6984087228775024
1,0.6969481706619263,0.6969481706619263,0.6844606399536133,0.49668875336647034,0.49668875336647034,0.7192140221595764
2,0.7303051948547363,0.7303051948547363,0.5727154612541199,0.4867549538612366,0.4867549538612366,0.8398100733757019
3,0.7423704862594604,0.7423704862594604,0.5951647758483887,0.6175496578216553,0.6175496578216553,0.6357251405715942
4,0.7792760729789734,0.7792760729789734,0.49300578236579895,0.6423841118812561,0.6423841118812561,0.6419256925582886
5,0.7955996990203857,0.7955996990203857,0.47492772340774536,0.7218543291091919,0.7218543291091919,0.5383302569389343
6,0.7927608489990234,0.7927608489990234,0.4871206283569336,0.6870861053466797,0.6870861053466797,0.9216182231903076
7,0.8140525221824646,0.8140525221824646,0.45526573061943054,0.6076158881187439,0.6076158881187439,0.9700387120246887
8,0.7913413643836975,0.7913413643836975,0.4733990728855133,0.5397350788116455,0.5397350788116455,2.033806562423706
9,0.8275372385978699,0.8275372385978699,0.4087478518486023,0.5645695328712463,0.5645695328712463,1.793317437171936
10,0.833215057849884,0.833215057849884,0.3957694172859192,0.5049669146537781,0.5049669146537781,3.5552828311920166
11,0.8431511521339417,0.8431511521339417,0.3664640486240387,0.5314569473266602,0.5314569473266602,1.8519850969314575
12,0.8275372385978699,0.8275372385978699,0.4106203019618988,0.5066224932670593,0.5066224932670593,4.316906452178955
13,0.8452803492546082,0.8452803492546082,0.37488654255867004,0.7731788158416748,0.7731788158416748,0.538927435874939
14,0.8417317271232605,0.8417317271232605,0.35854607820510864,0.7168874144554138,0.7168874144554138,0.7214757800102234
15,0.8616039752960205,0.8616039752960205,0.3428932726383209,0.5215231776237488,0.5215231776237488,3.7678942680358887
