acc,bac,f1s,seed
0.7334878331402086,0.7336727678955057,0.77,0
0.8354577056778679,0.8353930351465154,0.8442982456140351,1
0.816917728852839,0.8169873034287187,0.8271334792122538,2
0.7891077636152954,0.7890000644496005,0.7672634271099745,3
0.5005793742757821,0.5,0.0,4
0.7902665121668598,0.7903132250580047,0.7816646562123041,5
0.7288528389339514,0.7291102732663057,0.777988614800759,6
0.831981460023175,0.8319798917246713,0.8323699421965319,7
0.828505214368482,0.8284754447022429,0.8329571106094809,8
0.7821552723059096,0.7822355418063074,0.7960954446854664,9
0.7821552723059096,0.7819643164045716,0.8131212723658051,10
0.7740440324449595,0.7738597791527027,0.8051948051948051,11
0.816917728852839,0.8169658202285812,0.8091787439613526,12
0.8238702201622248,0.8239424894732319,0.8340611353711791,13
0.7358053302433372,0.7355444917074847,0.7844990548204159,14
0.7137891077636153,0.7140236959697517,0.7618129218900674,15
0.7728852838933952,0.7727265403454499,0.8004073319755601,16
0.7925840092699884,0.7924427472716336,0.8152734778121774,17
0.8088064889918888,0.8087699793761278,0.8023952095808382,18
0.8041714947856315,0.8042692489473232,0.786346396965866,19
0.8146002317497103,0.8145489602131133,0.8226164079822615,20
0.8412514484356894,0.8412337801838963,0.8437856328392247,21
0.7949015063731171,0.794808584686775,0.8102893890675241,22
0.8018539976825029,0.8019275801323364,0.788627935723115,23
0.8122827346465817,0.8124060109993985,0.8301886792452831,24
0.7914252607184241,0.791540452865859,0.810126582278481,25
0.8273464658169177,0.8272804416945949,0.8368017524644031,26
0.8203939745075318,0.820416559250666,0.8170011806375442,27
0.8203939745075318,0.8204648964509753,0.8088779284833539,28
0.7844727694090382,0.7843435808197989,0.8062499999999999,29
