knn,nb,dt,rf,svc,mlp
0.6882966396292005,0.7265353418308227,0.7161066048667439,0.8273464658169177,0.8111239860950173,0.608342989571263
0.6882966396292005,0.7161066048667439,0.709154113557358,0.8203939745075318,0.8041714947856315,0.5492468134414832
0.694090382387022,0.7207415990730012,0.7137891077636153,0.8030127462340672,0.7995365005793743,0.5921205098493627
0.6987253765932793,0.7323290845886443,0.7369640787949016,0.8122827346465817,0.8192352259559675,0.5133256083429896
0.6767091541135574,0.7253765932792584,0.7114716106604867,0.8331402085747392,0.8203939745075318,0.6790266512166859
0.6813441483198146,0.7242178447276941,0.7114716106604867,0.816917728852839,0.8018539976825029,0.6743916570104287
0.6674391657010429,0.7242178447276941,0.6767091541135574,0.8064889918887601,0.8030127462340672,0.5724217844727694
0.6790266512166859,0.7149478563151797,0.7079953650057937,0.7844727694090382,0.7972190034762456,0.6523754345307068
0.7033603707995365,0.7450753186558516,0.7149478563151797,0.8505214368482039,0.8377752027809965,0.5144843568945539
0.6848203939745076,0.7103128621089224,0.657010428736964,0.7937427578215527,0.7856315179606026,0.5492468134414832
0.7022016222479722,0.7566628041714948,0.7068366164542295,0.8296639629200464,0.8342989571263036,0.47856315179606024
0.6512166859791425,0.7288528389339514,0.7103128621089224,0.8331402085747392,0.8203939745075318,0.5365005793742758
0.6790266512166859,0.7439165701042874,0.6917728852838934,0.8238702201622248,0.8203939745075318,0.5121668597914253
0.712630359212051,0.7323290845886443,0.694090382387022,0.8006952491309386,0.7972190034762456,0.5921205098493627
0.6767091541135574,0.7195828505214369,0.7219003476245655,0.8435689455388181,0.8250289687137891,0.6616454229432214
0.6929316338354577,0.7334878331402086,0.727694090382387,0.8192352259559675,0.8099652375434531,0.5156431054461182
0.6778679026651216,0.7450753186558516,0.6801853997682503,0.8273464658169177,0.8377752027809965,0.7033603707995365
0.7334878331402086,0.7624565469293163,0.7230590961761297,0.8435689455388181,0.8342989571263036,0.5249130938586327
0.6848203939745076,0.7149478563151797,0.6755504055619931,0.8203939745075318,0.8053302433371958,0.5249130938586327
0.6836616454229433,0.7473928157589803,0.7358053302433372,0.8354577056778679,0.813441483198146,0.6906141367323291
0.6848203939745076,0.7334878331402086,0.6987253765932793,0.8354577056778679,0.8111239860950173,0.6662804171494786
0.6616454229432214,0.7311703360370799,0.7137891077636153,0.8331402085747392,0.8203939745075318,0.6662804171494786
0.660486674391657,0.7520278099652375,0.7114716106604867,0.8203939745075318,0.8261877172653534,0.4855156431054461
0.6280417149478563,0.7288528389339514,0.6836616454229433,0.8424101969872537,0.8342989571263036,0.7045191193511008
0.6813441483198146,0.7288528389339514,0.6697566628041715,0.8238702201622248,0.813441483198146,0.6882966396292005
0.6685979142526072,0.7346465816917729,0.7149478563151797,0.8238702201622248,0.813441483198146,0.7219003476245655
0.6465816917728853,0.7392815758980301,0.697566628041715,0.828505214368482,0.8192352259559675,0.6222479721900348
0.6674391657010429,0.7045191193511008,0.697566628041715,0.7925840092699884,0.7879490150637312,0.507531865585168
0.6778679026651216,0.7300115874855156,0.6929316338354577,0.8099652375434531,0.7995365005793743,0.507531865585168
0.6651216685979142,0.7103128621089224,0.694090382387022,0.8122827346465817,0.8030127462340672,0.4855156431054461
