,kNN_Euclidean,kNN_Manhattan,DWNN_Euclidean,DWNN_Manhattan,Naive_Bayes,Decision_Tree,Random_Forest
0,0.697566628041715,0.7137891077636153,0.697566628041715,0.7137891077636153,0.7207415990730012,0.6801853997682503,0.828505214368482
1,0.6581691772885284,0.6790266512166859,0.6581691772885284,0.6790266512166859,0.7392815758980301,0.7230590961761297,0.8412514484356894
2,0.6685979142526072,0.6964078794901506,0.6685979142526072,0.6964078794901506,0.7242178447276941,0.6882966396292005,0.816917728852839
3,0.6755504055619931,0.6998841251448435,0.6755504055619931,0.6998841251448435,0.7358053302433372,0.709154113557358,0.8400926998841252
4,0.6952491309385863,0.7161066048667439,0.6952491309385863,0.7161066048667439,0.7172653534183082,0.6929316338354577,0.8203939745075318
5,0.6628041714947857,0.6952491309385863,0.6628041714947857,0.6952491309385863,0.7601390498261877,0.7045191193511008,0.8563151796060255
6,0.6882966396292005,0.7137891077636153,0.6882966396292005,0.7137891077636153,0.7415990730011588,0.6929316338354577,0.8053302433371958
7,0.6442641946697567,0.6894553881807648,0.6442641946697567,0.6906141367323291,0.6964078794901506,0.6917728852838934,0.8203939745075318
8,0.6813441483198146,0.697566628041715,0.6813441483198146,0.697566628041715,0.7184241019698725,0.7172653534183082,0.8261877172653534
9,0.6813441483198146,0.7010428736964078,0.6813441483198146,0.7010428736964078,0.7033603707995365,0.7079953650057937,0.8006952491309386
10,0.6882966396292005,0.7184241019698725,0.6882966396292005,0.7184241019698725,0.7334878331402086,0.7195828505214369,0.8447276940903824
11,0.6894553881807648,0.7045191193511008,0.6894553881807648,0.7045191193511008,0.7172653534183082,0.6825028968713789,0.8261877172653534
12,0.7045191193511008,0.7161066048667439,0.7045191193511008,0.7161066048667439,0.7068366164542295,0.7137891077636153,0.813441483198146
13,0.6871378910776361,0.709154113557358,0.6871378910776361,0.709154113557358,0.7334878331402086,0.6964078794901506,0.8342989571263036
14,0.6697566628041715,0.6964078794901506,0.6697566628041715,0.6964078794901506,0.6998841251448435,0.6906141367323291,0.8099652375434531
15,0.6906141367323291,0.7207415990730012,0.6906141367323291,0.7207415990730012,0.7531865585168018,0.7184241019698725,0.8505214368482039
16,0.6929316338354577,0.7184241019698725,0.6929316338354577,0.7184241019698725,0.7253765932792584,0.6767091541135574,0.8030127462340672
17,0.7079953650057937,0.7265353418308227,0.7079953650057937,0.7265353418308227,0.7230590961761297,0.6894553881807648,0.8308227114716107
18,0.6662804171494786,0.6987253765932793,0.6662804171494786,0.6987253765932793,0.7149478563151797,0.6917728852838934,0.8157589803012746
19,0.6998841251448435,0.7300115874855156,0.6998841251448435,0.7300115874855156,0.7207415990730012,0.7207415990730012,0.8342989571263036
20,0.6755504055619931,0.7068366164542295,0.6755504055619931,0.7068366164542295,0.7079953650057937,0.7242178447276941,0.8111239860950173
21,0.694090382387022,0.7288528389339514,0.6952491309385863,0.7288528389339514,0.7543453070683661,0.7161066048667439,0.8435689455388181
22,0.660486674391657,0.6929316338354577,0.660486674391657,0.6929316338354577,0.7219003476245655,0.6801853997682503,0.8250289687137891
23,0.6500579374275782,0.6767091541135574,0.6500579374275782,0.6767091541135574,0.7195828505214369,0.7022016222479722,0.8227114716106605
24,0.6743916570104287,0.712630359212051,0.6743916570104287,0.712630359212051,0.7195828505214369,0.6651216685979142,0.8157589803012746
25,0.6952491309385863,0.6929316338354577,0.6952491309385863,0.6929316338354577,0.7288528389339514,0.6871378910776361,0.8377752027809965
26,0.6546929316338355,0.6767091541135574,0.6546929316338355,0.6767091541135574,0.7137891077636153,0.6697566628041715,0.8273464658169177
27,0.6825028968713789,0.7022016222479722,0.6825028968713789,0.7022016222479722,0.7207415990730012,0.6825028968713789,0.816917728852839
28,0.6906141367323291,0.712630359212051,0.6906141367323291,0.712630359212051,0.7369640787949016,0.6964078794901506,0.8296639629200464
29,0.6917728852838934,0.7137891077636153,0.6917728852838934,0.7137891077636153,0.7300115874855156,0.7219003476245655,0.813441483198146
