epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.8005678057670593,0.8005678057670593,0.5517846941947937,0.7566224932670593,0.7566224932670593,0.529597818851471
1,0.8630234003067017,0.8630234003067017,0.3389466106891632,0.8211920261383057,0.8211920261383057,0.41503527760505676
2,0.8928318023681641,0.8928318023681641,0.2617091238498688,0.8311258554458618,0.8311258554458618,0.40162014961242676
3,0.8857345581054688,0.8857345581054688,0.2741686999797821,0.8129138946533203,0.8129138946533203,0.457317978143692
4,0.9169623851776123,0.9169623851776123,0.20486821234226227,0.807947039604187,0.807947039604187,0.49857351183891296
5,0.94038325548172,0.94038325548172,0.16120460629463196,0.7698675394058228,0.7698675394058228,0.6449912190437317
6,0.9027678966522217,0.9027678966522217,0.21210245788097382,0.8278145790100098,0.8278145790100098,0.43015000224113464
7,0.9545777440071106,0.9545777440071106,0.12344331294298172,0.8311258554458618,0.8311258554458618,0.47014015913009644
8,0.9666430354118347,0.9666430354118347,0.08324680477380753,0.8360927104949951,0.8360927104949951,0.48438990116119385
9,0.9730305075645447,0.9730305075645447,0.07736536860466003,0.7947019934654236,0.7947019934654236,0.7896695733070374
10,0.9723207950592041,0.9723207950592041,0.0770474299788475,0.8245033025741577,0.8245033025741577,0.5900267958641052
11,0.9872249960899353,0.9872249960899353,0.04030635207891464,0.7847682237625122,0.7847682237625122,0.9329736828804016
12,0.9318665862083435,0.9318665862083435,0.2030322402715683,0.8013244867324829,0.8013244867324829,0.6480650901794434
