epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.6453416347503662,0.6453416347503662,0.6651867032051086,0.6774193644523621,0.6774193644523621,0.5920878052711487
1,0.7080745100975037,0.7080745100975037,0.5888295769691467,0.7593052387237549,0.7593052387237549,0.4912464916706085
2,0.7459627389907837,0.7459627389907837,0.6220765113830566,0.7344912886619568,0.7344912886619568,0.5059986114501953
3,0.7565217614173889,0.7565217614173889,0.527781069278717,0.7791563272476196,0.7791563272476196,0.447108656167984
4,0.7484471797943115,0.7484471797943115,0.5129367709159851,0.7617865800857544,0.7617865800857544,0.4654541015625
5,0.7552794814109802,0.7552794814109802,0.5120863318443298,0.7841191291809082,0.7841191291809082,0.46576806902885437
6,0.7732919454574585,0.7732919454574585,0.49321189522743225,0.7444168925285339,0.7444168925285339,0.4786057770252228
7,0.7726708054542542,0.7726708054542542,0.5013009309768677,0.7692307829856873,0.7692307829856873,0.46562740206718445
8,0.7751553058624268,0.7751553058624268,0.483354389667511,0.7866004705429077,0.7866004705429077,0.4451565146446228
9,0.7732919454574585,0.7732919454574585,0.4593065679073334,0.7593052387237549,0.7593052387237549,0.45782700181007385
10,0.7888198494911194,0.7888198494911194,0.4433932304382324,0.7816377282142639,0.7816377282142639,0.44406431913375854
11,0.7832298278808594,0.7832298278808594,0.42256659269332886,0.7493796348571777,0.7493796348571777,0.5392558574676514
12,0.7950310707092285,0.7950310707092285,0.4430672824382782,0.7816377282142639,0.7816377282142639,0.4479098916053772
13,0.8062111735343933,0.8062111735343933,0.389045774936676,0.774193525314331,0.774193525314331,0.43751347064971924
14,0.8086956739425659,0.8086956739425659,0.3992602527141571,0.7965260744094849,0.7965260744094849,0.4393216669559479
15,0.8173912763595581,0.8173912763595581,0.3629724085330963,0.774193525314331,0.774193525314331,0.44397976994514465
16,0.8167701959609985,0.8167701959609985,0.4232325553894043,0.789081871509552,0.789081871509552,0.46870744228363037
17,0.8180124163627625,0.8180124163627625,0.39162343740463257,0.774193525314331,0.774193525314331,0.4500601887702942
18,0.8447204828262329,0.8447204828262329,0.33548757433891296,0.7866004705429077,0.7866004705429077,0.4743608832359314
19,0.8310558795928955,0.8310558795928955,0.3209644854068756,0.8213399648666382,0.8213399648666382,0.5147455930709839
20,0.8409937620162964,0.8409937620162964,0.35815876722335815,0.7940446734428406,0.7940446734428406,0.44248270988464355
21,0.852173924446106,0.852173924446106,0.2921551764011383,0.766749382019043,0.766749382019043,0.5178301930427551
22,0.8552795052528381,0.8552795052528381,0.3092197775840759,0.803970217704773,0.803970217704773,0.5297279953956604
23,0.8559006452560425,0.8559006452560425,0.3103748559951782,0.8014888167381287,0.8014888167381287,0.46856215596199036
